team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
West Indies,Sri Lanka,"Kensington Oval, Bridgetown",Sri Lanka,1,Sri Lanka,2010-05-07,22,0.5,2,25,0.56,2,0,2,1,1.0,0,0.0,0,1
Australia,India,"Kensington Oval, Bridgetown",India,0,Australia,2010-05-07,31,0.5806451612903226,5,20,0.55,2,1,2,2,0.5,0,0.0,0,1
New Zealand,Pakistan,"Kensington Oval, Bridgetown",Pakistan,0,New Zealand,2010-05-08,34,0.47058823529411764,3,29,0.7241379310344828,2,0,4,1,0.0,1,0.0,0,1
England,South Africa,"Kensington Oval, Bridgetown",England,1,England,2010-05-08,28,0.42857142857142855,2,28,0.6071428571428571,2,1,3,1,1.0,1,1.0,1,0
West Indies,India,"Kensington Oval, Bridgetown",India,0,West Indies,2010-05-09,23,0.4782608695652174,2,21,0.5238095238095238,2,1,0,2,0.5,1,0.0,0,1
Australia,Sri Lanka,"Kensington Oval, Bridgetown",Australia,1,Australia,2010-05-09,32,0.59375,5,26,0.5769230769230769,3,1,1,3,0.6666666666666666,1,1.0,1,0
Pakistan,South Africa,"Beausejour Stadium, Gros Islet",Pakistan,1,Pakistan,2010-05-10,30,0.7,2,29,0.5862068965517241,2,1,0,2,0.5,1,0.0,1,0
England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,1,England,2010-05-10,29,0.4482758620689655,3,35,0.4857142857142857,3,3,1,0,0.0,0,0.0,0,1
India,Sri Lanka,"Beausejour Stadium, Gros Islet",India,1,Sri Lanka,2010-05-11,22,0.5,2,27,0.5555555555555556,2,2,1,1,1.0,0,0.0,1,0
West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,1,Australia,2010-05-11,24,0.5,3,33,0.6060606060606061,5,2,2,0,0.0,1,1.0,1,0
England,Sri Lanka,"Beausejour Stadium, Gros Islet",Sri Lanka,1,England,2010-05-13,30,0.4666666666666667,3,28,0.5714285714285714,3,0,1,1,1.0,1,1.0,0,1
