team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
Australia,Pakistan,Edgbaston,Pakistan,1,Pakistan,2010-07-06,39,0.6153846153846154,3,33,0.696969696969697,2,3,3,1,0.0,1,1.0,0,1
England,Pakistan,Sophia Gardens,England,0,England,2010-09-05,32,0.5,5,34,0.7058823529411765,3,3,2,0,0.0,0,0.0,1,0
England,Pakistan,Sophia Gardens,Pakistan,1,England,2010-09-07,33,0.5151515151515151,5,35,0.6857142857142857,3,4,2,1,1.0,1,0.0,0,1
South Africa,Zimbabwe,OUTsurance Oval,Zimbabwe,1,South Africa,2010-10-08,32,0.59375,3,7,0.2857142857142857,1,0,0,0,0.0,0,0.0,0,1
South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,1,South Africa,2010-10-10,33,0.6060606060606061,3,8,0.25,0,1,0,0,0.0,0,0.0,1,0
Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,1,South Africa,2010-10-26,36,0.6666666666666666,2,34,0.6176470588235294,4,2,0,0,0.0,0,0.0,1,0
Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,1,South Africa,2010-10-27,37,0.6486486486486487,2,35,0.6285714285714286,5,2,1,1,0.0,1,1.0,1,0
Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,1,Sri Lanka,2010-10-31,40,0.6,2,31,0.5483870967741935,2,2,1,1,1.0,0,0.0,1,0
New Zealand,Pakistan,Eden Park,New Zealand,0,New Zealand,2010-12-26,40,0.475,2,38,0.631578947368421,1,1,4,3,0.3333333333333333,0,0.0,1,0
New Zealand,Pakistan,Seddon Park,Pakistan,0,New Zealand,2010-12-28,41,0.4878048780487805,3,39,0.6153846153846154,0,2,4,2,1.0,0,0.0,0,1
New Zealand,Pakistan,AMI Stadium,Pakistan,1,Pakistan,2010-12-30,42,0.5,3,40,0.6,0,3,4,1,1.0,0,0.0,0,1
New Zealand,Australia,Saxton Oval,New Zealand,1,Australia,2010-12-30,43,0.4883720930232558,3,41,0.5853658536585366,1,0,5,0,0.0,0,0.0,1,0
South Africa,India,Moses Mabhida Stadium,India,1,India,2011-01-09,36,0.6388888888888888,5,26,0.5,2,1,3,0,0.0,0,0.0,0,1
Australia,England,Adelaide Oval,Australia,1,England,2011-01-12,42,0.5952380952380952,2,34,0.5294117647058824,5,3,3,0,0.0,0,0.0,1,0
Australia,England,Melbourne Cricket Ground,Australia,1,Australia,2011-01-14,43,0.5813953488372093,1,35,0.5428571428571428,5,3,4,3,1.0,0,0.0,1,0
West Indies,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,1,West Indies,2011-04-21,28,0.42857142857142855,1,41,0.6097560975609756,1,0,0,2,0.0,4,0.5,1,0
West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,0,India,2011-06-04,29,0.4482758620689655,1,27,0.5185185185185185,3,2,0,2,0.5,0,0.0,1,0
England,Sri Lanka,County Ground,Sri Lanka,0,Sri Lanka,2011-06-25,36,0.5277777777777778,4,32,0.5625,3,1,1,2,0.0,0,0.0,0,1
England,India,County Ground,England,1,England,2011-06-26,37,0.5135135135135135,3,28,0.5357142857142857,4,1,1,3,0.0,0,0.0,1,0
Sri Lanka,Australia,Pallekele International Cricket Stadium,Australia,0,Sri Lanka,2011-08-06,33,0.5757575757575758,3,44,0.5909090909090909,2,2,2,0,0.0,0,0.0,0,1
Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,1,Sri Lanka,2011-08-08,34,0.5882352941176471,4,45,0.5777777777777777,2,3,2,1,1.0,1,0.0,1,0
England,India,Old Trafford,India,1,England,2011-08-31,38,0.5263157894736842,3,29,0.5172413793103449,4,2,1,1,1.0,0,0.0,0,1
Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,0,Pakistan,2011-09-16,9,0.2222222222222222,0,42,0.5952380952380952,1,0,0,2,0.0,0,0.0,1,0
Zimbabwe,Pakistan,Harare Sports Club,Pakistan,1,Pakistan,2011-09-18,10,0.2,0,43,0.6046511627906976,2,0,1,3,0.0,1,1.0,0,1
England,West Indies,Kennington Oval,England,0,England,2011-09-23,39,0.5384615384615384,3,30,0.43333333333333335,1,1,4,5,0.6,6,0.5,1,0
England,West Indies,Kennington Oval,England,0,West Indies,2011-09-25,40,0.55,3,31,0.41935483870967744,1,2,4,6,0.6666666666666666,7,0.42857142857142855,1,0
Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,0,Bangladesh,2011-10-11,15,0.13333333333333333,0,32,0.4375,2,1,1,0,0.0,0,0.0,1,0
South Africa,Australia,Newlands,South Africa,1,Australia,2011-10-13,37,0.6216216216216216,4,46,0.5652173913043478,2,3,3,2,1.0,4,0.75,1,0
Zimbabwe,New Zealand,Harare Sports Club,New Zealand,0,New Zealand,2011-10-15,11,0.18181818181818182,0,44,0.4772727272727273,2,0,1,4,0.0,0,0.0,0,1
South Africa,Australia,New Wanderers Stadium,Australia,1,South Africa,2011-10-16,38,0.6052631578947368,3,47,0.574468085106383,2,3,4,9,0.6666666666666666,3,0.0,0,1
Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,0,New Zealand,2011-10-17,12,0.16666666666666666,0,45,0.4888888888888889,3,0,2,5,0.0,1,1.0,1,0
India,England,Eden Gardens,India,1,England,2011-10-29,30,0.5,3,41,0.5365853658536586,3,1,3,0,0.0,0,0.0,1,0
Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,1,Pakistan,2011-11-25,44,0.6136363636363636,3,35,0.6,5,4,2,2,0.0,0,0.0,0,1
Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,1,Pakistan,2011-11-29,16,0.1875,1,45,0.6222222222222222,4,0,4,1,1.0,0,0.0,0,1
Australia,India,Stadium Australia,India,0,Australia,2012-02-01,48,0.5625,2,31,0.4838709677419355,2,3,2,0,0.0,0,0.0,0,1
Australia,India,Melbourne Cricket Ground,Australia,1,India,2012-02-03,49,0.5714285714285714,2,32,0.46875,1,4,2,4,1.0,1,0.0,1,0
New Zealand,Zimbabwe,Eden Park,Zimbabwe,1,New Zealand,2012-02-11,46,0.5,3,13,0.15384615384615385,0,3,0,4,0.5,0,0.0,0,1
New Zealand,Zimbabwe,Seddon Park,Zimbabwe,1,New Zealand,2012-02-14,47,0.5106382978723404,3,14,0.14285714285714285,0,4,0,3,1.0,0,0.0,0,1
New Zealand,South Africa,Westpac Stadium,New Zealand,0,New Zealand,2012-02-17,48,0.5208333333333334,4,39,0.6153846153846154,3,1,4,3,0.3333333333333333,0,0.0,1,0
New Zealand,England,Westpac Stadium,England,0,England,2012-02-17,49,0.5306122448979592,5,42,0.5476190476190477,4,1,4,4,0.5,0,0.0,0,1
New Zealand,South Africa,Seddon Park,South Africa,0,South Africa,2012-02-19,50,0.52,4,40,0.6,2,2,4,4,1.0,0,0.0,0,1
New Zealand,England,Seddon Park,New Zealand,0,England,2012-02-19,51,0.5098039215686274,3,43,0.5581395348837209,4,1,5,5,0.8,0,0.0,1,0
New Zealand,England,Eden Park,New Zealand,0,England,2012-02-22,52,0.5,2,44,0.5681818181818182,4,1,6,5,0.6,1,1.0,1,0
Kenya,Ireland,Mombasa Sports Club Ground,Ireland,0,Ireland,2012-02-22,6,0.16666666666666666,1,9,0.4444444444444444,2,0,1,0,0.0,0,0.0,0,1
New Zealand,South Africa,Eden Park,New Zealand,0,South Africa,2012-02-22,53,0.49056603773584906,1,41,0.6097560975609756,2,2,5,6,0.5,0,0.0,1,0
Kenya,Ireland,Mombasa Sports Club Ground,Kenya,1,Ireland,2012-02-23,7,0.14285714285714285,1,10,0.5,3,0,2,1,0.0,1,1.0,1,0
England,Pakistan,Dubai International Cricket Stadium,England,0,Pakistan,2012-02-23,45,0.5777777777777777,4,46,0.6304347826086957,4,5,2,2,0.5,5,0.8,1,0
Kenya,Ireland,Mombasa Sports Club Ground,Ireland,1,Ireland,2012-02-24,8,0.125,1,11,0.5454545454545454,4,0,3,2,0.0,2,1.0,0,1
England,Pakistan,Dubai International Cricket Stadium,England,1,England,2012-02-25,46,0.5652173913043478,4,47,0.6382978723404256,5,5,3,3,0.3333333333333333,6,0.8333333333333334,1,0
England,Pakistan,Sheikh Zayed Stadium,England,1,England,2012-02-27,47,0.574468085106383,4,48,0.625,4,6,3,0,0.0,3,0.3333333333333333,1,0
Canada,Netherlands,Dubai International Cricket Stadium,Netherlands,1,Netherlands,2012-03-13,2,0.0,0,5,0.6,3,0,1,2,0.0,2,0.5,0,1
Ireland,Kenya,Dubai International Cricket Stadium,Kenya,1,Ireland,2012-03-14,12,0.5833333333333334,4,9,0.1111111111111111,1,4,0,2,1.0,1,1.0,0,1
Ireland,Scotland,Dubai International Cricket Stadium,Ireland,1,Ireland,2012-03-18,13,0.6153846153846154,4,6,0.16666666666666666,1,1,0,3,1.0,1,0.0,1,0
Canada,Ireland,Dubai International Cricket Stadium,Canada,1,Ireland,2012-03-22,3,0.0,0,14,0.6428571428571429,5,0,0,3,0.0,4,1.0,1,0
Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,0,Ireland,2012-03-23,15,0.6666666666666666,5,6,0.6666666666666666,3,1,0,5,1.0,3,0.6666666666666666,1,0
Canada,Scotland,Dubai International Cricket Stadium,Canada,1,Scotland,2012-03-23,4,0.0,0,7,0.14285714285714285,0,0,0,4,0.0,2,0.0,1,0
West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,1,Australia,2012-03-27,33,0.42424242424242425,2,50,0.56,2,2,3,3,0.3333333333333333,4,1.0,1,0
West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,1,West Indies,2012-03-30,34,0.4117647058823529,1,51,0.5686274509803921,3,2,4,3,0.6666666666666666,6,0.6666666666666666,1,0
South Africa,India,New Wanderers Stadium,India,0,South Africa,2012-03-30,42,0.6190476190476191,3,33,0.48484848484848486,1,1,4,10,0.7,3,0.6666666666666666,0,1
Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,1,Sri Lanka,2012-06-01,36,0.5833333333333334,4,49,0.6122448979591837,3,2,5,0,0.0,0,0.0,1,0
Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,1,Pakistan,2012-06-03,37,0.5945945945945946,4,50,0.6,2,3,5,1,1.0,1,0.0,0,1
England,West Indies,Trent Bridge,West Indies,1,England,2012-06-24,48,0.5833333333333334,4,35,0.42857142857142855,2,2,5,1,0.0,1,0.0,0,1
England,India,St Lawrence Ground,India,0,England,2012-06-26,49,0.5918367346938775,4,34,0.47058823529411764,1,4,1,0,0.0,0,0.0,0,1
England,India,County Ground,India,1,England,2012-06-28,50,0.6,4,35,0.45714285714285713,1,5,1,4,0.25,1,0.0,0,1
New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,New Zealand,0,West Indies,2012-06-30,54,0.48148148148148145,0,36,0.4166666666666667,2,2,0,2,0.5,0,0.0,1,0
New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,1,West Indies,2012-07-01,55,0.4727272727272727,0,37,0.43243243243243246,2,2,1,3,0.3333333333333333,1,1.0,0,1
Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Ireland,0,Bangladesh,2012-07-18,16,0.6875,5,17,0.17647058823529413,1,1,0,1,1.0,0,0.0,1,0
Netherlands,Bangladesh,Sportpark Westvliet,Netherlands,1,Bangladesh,2012-07-25,7,0.5714285714285714,2,18,0.2222222222222222,2,0,0,0,0.0,0,0.0,1,0
Netherlands,Bangladesh,Sportpark Westvliet,Bangladesh,1,Netherlands,2012-07-26,8,0.5,2,19,0.2631578947368421,3,0,1,1,0.0,1,1.0,0,1
Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,0,India,2012-08-07,38,0.5789473684210527,3,36,0.4444444444444444,1,2,2,2,1.0,0,0.0,1,0
England,Pakistan,Haslegrave Ground,Pakistan,1,England,2012-09-04,51,0.6078431372549019,5,51,0.6078431372549019,2,7,3,0,0.0,0,0.0,0,1
Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,0,Pakistan,2012-09-05,52,0.5576923076923077,2,52,0.5961538461538461,1,3,4,1,0.0,7,0.7142857142857143,0,1
England,Pakistan,Haslegrave Ground,England,1,England,2012-09-05,52,0.6153846153846154,5,53,0.6037735849056604,2,8,3,1,1.0,1,0.0,1,0
England,West Indies,Riverside Ground,West Indies,1,England,2012-09-08,53,0.6226415094339622,5,38,0.4473684210526316,3,3,5,0,0.0,0,0.0,0,1
England,South Africa,Riverside Ground,South Africa,0,South Africa,2012-09-08,54,0.6296296296296297,5,43,0.627906976744186,4,2,3,1,1.0,0,0.0,0,1
England,West Indies,Old Trafford,West Indies,0,England,2012-09-10,55,0.6181818181818182,4,39,0.4358974358974359,3,4,5,2,1.0,0,0.0,0,1
Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,0,Australia,2012-09-10,53,0.5471698113207547,2,54,0.5925925925925926,2,3,5,2,0.0,8,0.75,0,1
India,New Zealand,"MA Chidambaram Stadium, Chepauk",India,0,New Zealand,2012-09-11,37,0.4594594594594595,2,56,0.4642857142857143,0,0,4,0,0.0,0,0.0,1,0
England,South Africa,Edgbaston,South Africa,0,England,2012-09-12,56,0.625,4,44,0.6363636363636364,4,2,4,0,0.0,0,0.0,0,1
England,West Indies,County Ground,England,1,England,2012-09-13,57,0.631578947368421,4,40,0.425,2,5,5,5,0.4,0,0.0,1,0
England,West Indies,County Ground,England,1,England,2012-09-15,58,0.6379310344827587,4,41,0.4146341463414634,2,6,5,6,0.5,1,0.0,1,0
England,West Indies,Arundel Castle Cricket Club Ground,West Indies,0,West Indies,2012-09-16,59,0.6440677966101694,4,42,0.40476190476190477,1,7,5,0,0.0,0,0.0,0,1
Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,0,Sri Lanka,2012-09-18,39,0.5641025641025641,2,15,0.13333333333333333,0,1,0,2,0.5,0,0.0,0,1
Australia,Ireland,R Premadasa Stadium,Ireland,1,Australia,2012-09-19,54,0.5555555555555556,2,17,0.6470588235294118,4,0,0,0,0.0,0,0.0,0,1
South Africa,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,0,South Africa,2012-09-20,45,0.6222222222222222,4,16,0.125,0,2,0,0,0.0,1,0.0,1,0
Bangladesh,New Zealand,Pallekele International Cricket Stadium,Bangladesh,0,New Zealand,2012-09-21,20,0.25,3,57,0.47368421052631576,1,0,1,0,0.0,0,0.0,1,0
Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,0,South Africa,2012-09-22,40,0.575,2,46,0.6304347826086957,4,0,0,3,0.6666666666666666,1,1.0,1,0
Australia,West Indies,R Premadasa Stadium,West Indies,1,Australia,2012-09-22,55,0.5636363636363636,3,43,0.4186046511627907,1,4,3,1,1.0,0,0.0,0,1
England,India,R Premadasa Stadium,England,0,India,2012-09-23,60,0.6333333333333333,4,38,0.4473684210526316,1,6,1,0,0.0,1,1.0,1,0
New Zealand,Pakistan,Pallekele International Cricket Stadium,Pakistan,1,Pakistan,2012-09-23,58,0.4827586206896552,2,55,0.5818181818181818,2,3,5,1,1.0,0,0.0,0,1
Bangladesh,Pakistan,Pallekele International Cricket Stadium,Bangladesh,1,Pakistan,2012-09-25,21,0.23809523809523808,2,56,0.5892857142857143,2,0,5,1,0.0,1,1.0,1,0
New Zealand,West Indies,Galle International Stadium,West Indies,0,West Indies,2012-09-26,59,0.4745762711864407,2,44,0.4090909090909091,1,2,2,0,0.0,0,0.0,0,1
Sri Lanka,South Africa,Galle International Stadium,South Africa,0,South Africa,2012-09-26,41,0.5609756097560976,2,47,0.6382978723404256,4,0,1,0,0.0,0,0.0,0,1
Australia,India,Galle International Stadium,India,1,Australia,2012-09-27,56,0.5714285714285714,3,39,0.46153846153846156,2,4,3,0,0.0,0,0.0,0,1
England,Pakistan,Galle International Stadium,Pakistan,0,England,2012-09-27,61,0.6229508196721312,3,57,0.5964912280701754,3,9,3,0,0.0,0,0.0,0,1
England,West Indies,Pallekele International Cricket Stadium,West Indies,1,West Indies,2012-09-27,62,0.6290322580645161,3,45,0.4222222222222222,2,7,6,0,0.0,0,0.0,0,1
Sri Lanka,West Indies,Galle International Stadium,West Indies,0,Sri Lanka,2012-09-28,42,0.5476190476190477,1,46,0.43478260869565216,3,3,0,1,0.0,1,1.0,0,1
New Zealand,South Africa,Galle International Stadium,South Africa,0,New Zealand,2012-09-28,60,0.4666666666666667,2,48,0.6458333333333334,4,2,6,1,0.0,1,1.0,0,1
Australia,India,R Premadasa Stadium,India,1,Australia,2012-09-28,57,0.5789473684210527,4,40,0.45,2,5,3,2,1.0,2,1.0,0,1
Pakistan,South Africa,R Premadasa Stadium,South Africa,1,Pakistan,2012-09-28,58,0.5862068965517241,2,49,0.6326530612244898,3,2,2,1,1.0,0,0.0,0,1
England,India,Galle International Stadium,India,1,England,2012-09-29,63,0.6190476190476191,2,41,0.43902439024390244,2,6,2,1,1.0,1,0.0,0,1
Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,1,Sri Lanka,2012-09-29,43,0.5581395348837209,2,47,0.425531914893617,3,4,0,3,0.6666666666666666,1,1.0,0,1
Australia,Pakistan,Galle International Stadium,Australia,1,Australia,2012-09-29,58,0.5862068965517241,5,59,0.5932203389830508,3,4,5,1,1.0,1,0.0,1,0
England,New Zealand,Pallekele International Cricket Stadium,New Zealand,1,England,2012-09-29,64,0.625,2,61,0.47540983606557374,3,7,1,1,0.0,2,0.5,0,1
Sri Lanka,New Zealand,Galle International Stadium,Sri Lanka,1,New Zealand,2012-09-30,44,0.5681818181818182,3,62,0.46774193548387094,2,4,5,2,0.5,2,0.5,1,0
South Africa,West Indies,Galle International Stadium,West Indies,0,West Indies,2012-09-30,50,0.62,3,48,0.4166666666666667,2,5,2,2,0.5,2,0.5,0,1
Australia,South Africa,R Premadasa Stadium,Australia,0,Australia,2012-09-30,59,0.5932203389830508,5,51,0.6078431372549019,2,4,4,3,1.0,1,0.0,1,0
India,Pakistan,R Premadasa Stadium,Pakistan,1,India,2012-09-30,42,0.42857142857142855,1,60,0.5833333333333334,3,1,0,3,0.6666666666666666,2,1.0,0,1
Sri Lanka,England,Pallekele International Cricket Stadium,England,0,Sri Lanka,2012-10-01,45,0.5555555555555556,2,65,0.6307692307692307,3,2,1,4,0.75,2,0.5,0,1
Australia,England,Galle International Stadium,Australia,1,England,2012-10-01,60,0.6,5,66,0.6212121212121212,3,4,4,2,1.0,2,1.0,1,0
India,Pakistan,Galle International Stadium,Pakistan,1,Pakistan,2012-10-01,43,0.4418604651162791,2,61,0.5737704918032787,2,2,0,2,0.0,2,0.0,0,1
Australia,Pakistan,R Premadasa Stadium,Australia,0,Pakistan,2012-10-02,61,0.5901639344262295,4,62,0.5806451612903226,2,5,5,4,1.0,3,0.6666666666666666,1,0
India,South Africa,R Premadasa Stadium,South Africa,0,India,2012-10-02,44,0.4318181818181818,1,52,0.5961538461538461,1,4,2,4,0.75,2,0.0,0,1
Sri Lanka,India,Nondescripts Cricket Club Ground,Sri Lanka,1,India,2012-10-03,46,0.5652173913043478,3,45,0.4444444444444444,2,2,3,0,0.0,0,0.0,1,0
England,New Zealand,R Premadasa Stadium,England,0,England,2012-10-04,67,0.6268656716417911,3,63,0.47619047619047616,2,8,1,1,0.0,2,1.0,1,0
Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,1,Sri Lanka,2012-10-04,47,0.5531914893617021,3,63,0.5873015873015873,3,3,6,4,0.0,4,0.75,1,0
Australia,West Indies,R Premadasa Stadium,Australia,1,Australia,2012-10-05,62,0.5806451612903226,3,49,0.42857142857142855,3,5,3,5,0.8,1,0.0,1,0
Australia,West Indies,R Premadasa Stadium,West Indies,1,West Indies,2012-10-05,63,0.5873015873015873,3,50,0.42,2,6,3,6,0.8333333333333334,2,0.0,0,1
Australia,England,R Premadasa Stadium,England,0,Australia,2012-10-07,64,0.578125,2,68,0.6323529411764706,4,4,5,7,0.7142857142857143,2,0.5,0,1
Sri Lanka,West Indies,R Premadasa Stadium,West Indies,1,West Indies,2012-10-07,48,0.5625,3,51,0.43137254901960786,2,5,0,5,0.2,3,0.3333333333333333,0,1
India,Pakistan,Guanggong International Cricket Stadium,Pakistan,1,India,2012-10-28,46,0.45652173913043476,3,64,0.578125,2,2,1,0,0.0,0,0.0,0,1
Bangladesh,Sri Lanka,Guanggong International Cricket Stadium,Sri Lanka,0,Bangladesh,2012-10-28,22,0.22727272727272727,2,49,0.5510204081632653,2,0,1,0,0.0,0,0.0,0,1
Bangladesh,Pakistan,Guanggong International Cricket Stadium,Pakistan,0,Pakistan,2012-10-30,23,0.2608695652173913,2,65,0.5692307692307692,2,0,6,1,1.0,1,0.0,0,1
India,Pakistan,Guanggong International Cricket Stadium,India,1,India,2012-10-31,47,0.46808510638297873,4,66,0.5757575757575758,3,3,1,1,1.0,2,0.5,1,0
Bangladesh,West Indies,Shere Bangla National Stadium,West Indies,1,West Indies,2012-12-10,24,0.25,1,52,0.4423076923076923,3,2,1,2,0.5,1,0.0,0,1
India,England,Subrata Roy Sahara Stadium,India,0,India,2012-12-20,48,0.4791666666666667,4,69,0.6231884057971014,3,2,7,0,0.0,0,0.0,1,0
South Africa,New Zealand,Kingsmead,New Zealand,1,South Africa,2012-12-21,53,0.5849056603773585,0,64,0.46875,2,6,3,2,0.5,3,0.6666666666666666,0,1
India,England,Wankhede Stadium,England,0,England,2012-12-22,49,0.4897959183673469,5,70,0.6142857142857143,2,3,7,0,0.0,0,0.0,0,1
South Africa,New Zealand,Buffalo Park,New Zealand,0,New Zealand,2012-12-23,54,0.5925925925925926,1,65,0.46153846153846156,2,7,3,0,0.0,0,0.0,0,1
India,Pakistan,M Chinnaswamy Stadium,Pakistan,0,Pakistan,2012-12-25,50,0.48,4,67,0.5671641791044776,2,4,1,0,0.0,0,0.0,0,1
South Africa,New Zealand,St George's Park,South Africa,1,South Africa,2012-12-26,55,0.5818181818181818,1,66,0.4696969696969697,2,7,4,1,0.0,0,0.0,1,0
India,Pakistan,"Sardar Patel Stadium, Motera",Pakistan,0,India,2012-12-28,51,0.47058823529411764,3,68,0.5735294117647058,2,4,2,0,0.0,0,0.0,0,1
West Indies,South Africa,"Beausejour Stadium, Gros Islet",South Africa,1,West Indies,2013-01-19,53,0.4528301886792453,4,56,0.5892857142857143,2,3,5,4,0.25,2,0.0,0,1
West Indies,South Africa,"Beausejour Stadium, Gros Islet",West Indies,0,West Indies,2013-01-20,54,0.46296296296296297,4,57,0.5789473684210527,2,4,5,5,0.4,3,0.0,1,0
Australia,Sri Lanka,Stadium Australia,Australia,1,Sri Lanka,2013-01-26,65,0.5846153846153846,2,50,0.54,2,2,4,1,1.0,0,0.0,1,0
Australia,Sri Lanka,Melbourne Cricket Ground,Australia,0,Sri Lanka,2013-01-28,66,0.5757575757575758,2,51,0.5490196078431373,2,2,5,5,0.8,0,0.0,1,0
New Zealand,England,Eden Park,New Zealand,0,England,2013-02-09,67,0.4626865671641791,2,71,0.6197183098591549,3,1,9,7,0.42857142857142855,2,1.0,1,0
New Zealand,England,Seddon Park,England,0,New Zealand,2013-02-12,68,0.45588235294117646,1,72,0.625,3,1,10,6,0.6666666666666666,1,1.0,0,1
Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,1,West Indies,2013-02-13,67,0.5671641791044776,2,55,0.4727272727272727,5,6,4,2,1.0,0,0.0,0,1
New Zealand,England,Westpac Stadium,England,0,England,2013-02-15,69,0.463768115942029,2,73,0.6164383561643836,2,2,10,5,0.4,1,1.0,0,1
West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",Zimbabwe,1,West Indies,2013-03-02,56,0.48214285714285715,5,17,0.11764705882352941,0,0,1,2,0.0,0,0.0,0,1
West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",West Indies,1,West Indies,2013-03-03,57,0.49122807017543857,5,18,0.1111111111111111,0,1,1,3,0.3333333333333333,1,0.0,1,0
Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,1,West Indies,2013-03-03,52,0.5576923076923077,3,58,0.5,5,5,1,6,0.16666666666666666,4,0.5,1,0
South Africa,Pakistan,SuperSport Park,Pakistan,1,Pakistan,2013-03-03,58,0.5689655172413793,2,69,0.5652173913043478,2,2,3,2,1.0,0,0.0,0,1
Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,0,West Indies,2013-03-05,53,0.5471698113207547,2,59,0.5084745762711864,5,5,2,7,0.14285714285714285,5,0.6,1,0
Sri Lanka,West Indies,R Premadasa Stadium,West Indies,1,West Indies,2013-03-08,54,0.5370370370370371,2,60,0.5166666666666667,5,5,3,8,0.125,6,0.6666666666666666,0,1
Canada,Kenya,ICC Global Cricket Academy,Kenya,1,Canada,2013-03-15,5,0.0,0,10,0.1,1,0,1,0,0.0,0,0.0,0,1
Canada,Kenya,ICC Global Cricket Academy,Kenya,1,Kenya,2013-03-16,6,0.16666666666666666,1,11,0.09090909090909091,0,1,1,1,1.0,1,0.0,0,1
Sri Lanka,Bangladesh,Pallekele International Cricket Stadium,Bangladesh,0,Sri Lanka,2013-03-31,55,0.5272727272727272,2,25,0.24,1,1,1,5,0.8,2,0.0,0,1
Kenya,Netherlands,Wanderers Cricket Ground,Netherlands,1,Kenya,2013-04-19,12,0.16666666666666666,1,9,0.5555555555555556,2,0,0,0,0.0,0,0.0,0,1
Kenya,Netherlands,Wanderers Cricket Ground,Kenya,0,Kenya,2013-04-20,13,0.23076923076923078,2,10,0.5,2,1,0,1,1.0,1,0.0,1,0
Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,1,Zimbabwe,2013-05-11,19,0.10526315789473684,0,26,0.23076923076923078,1,0,0,0,0.0,0,0.0,1,0
Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,1,Bangladesh,2013-05-12,20,0.15,1,27,0.2222222222222222,1,1,0,1,1.0,1,0.0,0,1
England,New Zealand,Kennington Oval,England,0,New Zealand,2013-06-25,74,0.6216216216216216,3,70,0.45714285714285713,2,11,2,7,0.5714285714285714,2,0.5,1,0
England,Pakistan,Haslegrave Ground,England,1,England,2013-07-05,75,0.6133333333333333,3,70,0.5714285714285714,3,10,3,2,1.0,2,0.0,1,0
England,Pakistan,Haslegrave Ground,Pakistan,1,Pakistan,2013-07-05,76,0.618421052631579,3,71,0.5633802816901409,2,11,3,3,1.0,3,0.0,0,1
Ireland,Pakistan,YMCA Cricket Club,Pakistan,1,Pakistan,2013-07-16,18,0.6111111111111112,3,72,0.5694444444444444,3,0,1,0,0.0,0,0.0,0,1
West Indies,Pakistan,"Arnos Vale Ground, Kingstown",West Indies,1,Pakistan,2013-07-27,61,0.5245901639344263,5,73,0.5753424657534246,3,1,0,0,0.0,0,0.0,1,0
West Indies,Pakistan,"Arnos Vale Ground, Kingstown",Pakistan,1,Pakistan,2013-07-28,62,0.5161290322580645,4,74,0.581081081081081,4,1,1,1,0.0,1,1.0,0,1
Ireland,Pakistan,YMCA Cricket Club,Pakistan,0,Pakistan,2013-07-29,19,0.5789473684210527,2,75,0.5866666666666667,4,0,2,1,0.0,1,1.0,0,1
Sri Lanka,South Africa,R Premadasa Stadium,South Africa,1,South Africa,2013-08-02,56,0.5357142857142857,2,59,0.559322033898305,1,0,2,9,0.1111111111111111,3,0.0,0,1
